,0
0,Death Note
1,Shingeki no Kyojin
2,Sword Art Online
3,Angel Beats!
4,One Punch Man
5,Code Geass: Hangyaku no Lelouch
6,Toradora!
7,Fullmetal Alchemist: Brotherhood
8,No Game No Life
9,Tokyo Ghoul
10,Sen to Chihiro no Kamikakushi
11,Naruto
12,Kimi no Na wa.
13,Steins;Gate
14,Code Geass: Hangyaku no Lelouch R2
15,Boku no Hero Academia
16,Mirai Nikki
17,Elfen Lied
18,Noragami
19,Highschool of the Dead
20,Another
21,Ao no Exorcist
22,Boku dake ga Inai Machi
23,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
24,Clannad
25,Re:Zero kara Hajimeru Isekai Seikatsu
26,Sword Art Online II
27,Shingeki no Kyojin Season 2
28,Koe no Katachi
29,Boku no Hero Academia 2nd Season
30,Kono Subarashii Sekai ni Shukufuku wo!
31,Hataraku Maou-sama!
32,Fullmetal Alchemist
33,Bakemonogatari
34,Neon Genesis Evangelion
35,Akame ga Kill!
36,Shigatsu wa Kimi no Uso
37,Tengen Toppa Gurren Lagann
38,Tokyo Ghoul √A
39,Mahou Shoujo Madoka★Magica
40,Howl no Ugoku Shiro
41,Kiseijuu: Sei no Kakuritsu
42,Nanatsu no Taizai
43,Yahari Ore no Seishun Love Comedy wa Machigatteiru.
44,Suzumiya Haruhi no Yuuutsu
45,Durarara!!
46,Fate/Zero
47,Death Parade
48,Clannad: After Story
49,Chuunibyou demo Koi ga Shitai!
50,Mononoke Hime
51,Byousoku 5 Centimeter
52,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
53,High School DxD
54,K-On!
55,Psycho-Pass
56,Shokugeki no Souma
57,Charlotte
58,Kill la Kill
59,Soul Eater
60,Deadman Wonderland
61,Mob Psycho 100
62,Hunter x Hunter (2011)
63,Cowboy Bebop
64,Fate/Zero 2nd Season
65,Noragami Aragoto
66,Kimetsu no Yaiba
67,Ouran Koukou Host Club
68,Overlord
69,Toki wo Kakeru Shoujo
70,Sakura-sou no Pet na Kanojo
71,Kono Subarashii Sekai ni Shukufuku wo! 2
72,Ansatsu Kyoushitsu
73,Kaichou wa Maid-sama!
74,Boku no Hero Academia 3rd Season
75,Guilty Crown
76,Fate/stay night
77,Dragon Ball Z
78,Haikyuu!!
79,Zero no Tsukaima
80,Shingeki no Kyojin Season 3
81,Tonari no Totoro
82,Tonari no Kaibutsu-kun
83,Nisekoi
84,Ore no Imouto ga Konnani Kawaii Wake ga Nai
85,Zankyou no Terror
86,Boku wa Tomodachi ga Sukunai
87,Hyouka
88,Darker than Black: Kuro no Keiyakusha
89,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku
90,Samurai Champloo
91,Kyoukai no Kanata
92,Btooom!
93,Shingeki no Kyojin Season 3 Part 2
94,Yakusoku no Neverland
95,Fairy Tail
96,Nisemonogatari
97,Kuroshitsuji
98,Fate/stay night: Unlimited Blade Works
99,Owari no Seraph
100,Kuroko no Basket
101,Date A Live
102,Log Horizon
103,Black Lagoon
104,School Days
105,Gekkan Shoujo Nozaki-kun
106,Higurashi no Naku Koro ni
107,Shokugeki no Souma: Ni no Sara
108,Ookami to Koushinryou
109,Kotonoha no Niwa
110,FLCL
111,Dragon Ball
112,JoJo no Kimyou na Bouken (TV)
113,Rosario to Vampire
114,ReLIFE
115,High School DxD New
116,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
117,Neon Genesis Evangelion: The End of Evangelion
118,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
119,Baccano!
120,Bleach
121,Kami nomi zo Shiru Sekai
122,Black Bullet
123,Toaru Majutsu no Index
124,Haikyuu!! Second Season
125,Magi: The Labyrinth of Magic
126,Violet Evergarden
127,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
128,Baka to Test to Shoukanjuu
129,Kokoro Connect
130,Kobayashi-san Chi no Maid Dragon
131,Kore wa Zombie Desu ka?
132,Made in Abyss
133,Ookami Kodomo no Ame to Yuki
134,Kimi ni Todoke
135,Prison School
136,Akira
137,Fate/stay night: Unlimited Blade Works 2nd Season
138,Kakegurui
139,Hotarubi no Mori e
140,Mahouka Koukou no Rettousei
141,NHK ni Youkoso!
142,Zero no Tsukaima: Futatsuki no Kishi
143,Suzumiya Haruhi no Yuuutsu (2009)
144,Danshi Koukousei no Nichijou
145,Ansatsu Kyoushitsu 2nd Season
146,Golden Time
147,Darling in the FranXX
148,Tate no Yuusha no Nariagari
149,Vampire Knight
150,Naruto: Shippuuden
151,Summer Wars
152,One Punch Man 2nd Season
153,Suzumiya Haruhi no Shoushitsu
154,Hellsing
155,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri"
156,Lucky☆Star
157,IS: Infinite Stratos
158,Shakugan no Shana
159,K
160,K-On!!
161,Accel World
162,Claymore
163,Boku wa Tomodachi ga Sukunai Next
164,Higashi no Eden
165,Mob Psycho 100 II
166,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou
167,Hotaru no Haka
168,Kuroko no Basket 2nd Season
169,Nekomonogatari: Kuro
170,Chuunibyou demo Koi ga Shitai! Ren
171,Rakudai Kishi no Cavalry
172,Steins;Gate: Oukoubakko no Poriomania
173,Koukaku Kidoutai
174,Dr. Stone
175,Yamada-kun to 7-nin no Majo (TV)
176,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders
177,Sankarea
178,Barakamon
179,Koutetsujou no Kabaneri
180,Black Lagoon: The Second Barrage
181,Amagi Brilliant Park
182,Bungou Stray Dogs
183,Kiss x Sis (TV)
184,Zero no Tsukaima: Princesses no Rondo
185,Great Teacher Onizuka
186,Overlord II
187,Steins;Gate Movie: Fuka Ryouiki no Déjà vu
188,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen"
189,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!
190,Blood Lad
191,Ao Haru Ride
192,Goblin Slayer
193,Tensei shitara Slime Datta Ken
194,Shokugeki no Souma: San no Sara
195,Full Metal Panic!
196,To LOVE-Ru
197,Trinity Seven
198,Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai
199,Nisekoi:
200,Dragon Ball GT
201,Free!
202,Chobits
203,Bakuman.
204,Ore no Imouto ga Konnani Kawaii Wake ga Nai.
205,Plastic Memories
206,Boku no Hero Academia 4th Season
207,Magi: The Kingdom of Magic
208,Monogatari Series: Second Season
209,Trigun
210,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV)
211,Youjo Senki
212,Kami nomi zo Shiru Sekai II
213,Owari no Seraph: Nagoya Kessen-hen
214,Pokemon
215,Majo no Takkyuubin
216,High School DxD BorN
217,Sukitte Ii na yo.
218,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season
219,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?
220,Evangelion: 1.0 You Are (Not) Alone
221,Lovely★Complex
222,Higurashi no Naku Koro ni Kai
223,Ookami to Koushinryou II
224,Usagi Drop
225,Psycho-Pass 2
226,Nanatsu no Taizai: Imashime no Fukkatsu
227,Masamune-kun no Revenge
228,Ichiban Ushiro no Daimaou
229,Mayo Chiki!
230,Rosario to Vampire Capu2
231,Fullmetal Alchemist: The Conqueror of Shamballa
232,Hai to Gensou no Grimgar
233,Date A Live II
234,Hellsing Ultimate
235,Shiki
236,Kara no Kyoukai 1: Fukan Fuukei
237,Toaru Kagaku no Railgun
238,Monster Musume no Iru Nichijou
239,Darker than Black: Ryuusei no Gemini
240,Sword Art Online Movie: Ordinal Scale
241,Devilman: Crybaby
242,Rokka no Yuusha
243,Aldnoah.Zero
244,Akatsuki no Yona
245,Kekkai Sensen
246,Fruits Basket
247,Eromanga-sensei
248,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season"
249,Seitokai Yakuindomo
250,Sora no Otoshimono
251,Working!!
252,Hentai Ouji to Warawanai Neko.
253,Tenkuu no Shiro Laputa
254,Overlord III
255,Shinsekai yori
256,Sakamoto Desu ga?
257,Himouto! Umaru-chan
258,Vampire Knight: Guilty
259,Paprika
260,Evangelion: 2.0 You Can (Not) Advance
